region,gender,year,method,count
대한적십자사 외,남,2010.0,whole 320mL,10370.0
대한적십자사 외,여,2010.0,whole 320mL,32244.0
서울중앙,남,2011.0,whole 320mL,0.0
서울중앙,여,2011.0,whole 320mL,0.0
서울서부,남,2011.0,whole 320mL,22313.0
서울서부,여,2011.0,whole 320mL,67859.0
서울남부,남,2011.0,whole 320mL,15887.0
서울남부,여,2011.0,whole 320mL,45248.0
서울동부,남,2011.0,whole 320mL,25562.0
서울동부,여,2011.0,whole 320mL,71069.0
부산,남,2011.0,whole 320mL,20654.0
부산,여,2011.0,whole 320mL,52381.0
대구·경북,남,2011.0,whole 320mL,25134.0
대구·경북,여,2011.0,whole 320mL,64226.0
인천,남,2011.0,whole 320mL,19743.0
인천,여,2011.0,whole 320mL,45281.0
울산,남,2011.0,whole 320mL,10305.0
울산,여,2011.0,whole 320mL,17556.0
경기,남,2011.0,whole 320mL,24013.0
경기,여,2011.0,whole 320mL,42512.0
강원,남,2011.0,whole 320mL,7724.0
강원,여,2011.0,whole 320mL,16111.0
충북,남,2011.0,whole 320mL,7565.0
충북,여,2011.0,whole 320mL,8549.0
대전·세종·충남,남,2011.0,whole 320mL,20094.0
대전·세종·충남,여,2011.0,whole 320mL,31946.0
전북,남,2011.0,whole 320mL,12361.0
전북,여,2011.0,whole 320mL,25772.0
광주·전남,남,2011.0,whole 320mL,23322.0
광주·전남,여,2011.0,whole 320mL,54307.0
경남,남,2011.0,whole 320mL,19835.0
경남,여,2011.0,whole 320mL,20394.0
제주,남,2011.0,whole 320mL,3816.0
제주,여,2011.0,whole 320mL,10135.0
대한적십자사 외,남,2011.0,whole 320mL,12218.0
대한적십자사 외,여,2011.0,whole 320mL,39102.0
서울중앙,남,2012.0,whole 320mL,0.0
서울중앙,여,2012.0,whole 320mL,0.0
서울서부,남,2012.0,whole 320mL,21352.0
서울서부,여,2012.0,whole 320mL,64633.0
서울남부,남,2012.0,whole 320mL,16049.0
서울남부,여,2012.0,whole 320mL,50704.0
서울동부,남,2012.0,whole 320mL,25150.0
서울동부,여,2012.0,whole 320mL,75712.0
부산,남,2012.0,whole 320mL,19576.0
부산,여,2012.0,whole 320mL,51555.0
대구·경북,남,2012.0,whole 320mL,25076.0
대구·경북,여,2012.0,whole 320mL,66363.0
인천,남,2012.0,whole 320mL,17845.0
인천,여,2012.0,whole 320mL,45996.0
울산,남,2012.0,whole 320mL,11956.0
울산,여,2012.0,whole 320mL,19057.0
경기,남,2012.0,whole 320mL,21557.0
경기,여,2012.0,whole 320mL,40530.0
강원,남,2012.0,whole 320mL,6058.0
강원,여,2012.0,whole 320mL,14370.0
충북,남,2012.0,whole 320mL,9983.0
충북,여,2012.0,whole 320mL,11679.0
대전·세종·충남,남,2012.0,whole 320mL,20508.0
대전·세종·충남,여,2012.0,whole 320mL,41597.0
전북,남,2012.0,whole 320mL,13252.0
전북,여,2012.0,whole 320mL,25358.0
광주·전남,남,2012.0,whole 320mL,22771.0
광주·전남,여,2012.0,whole 320mL,51180.0
경남,남,2012.0,whole 320mL,20794.0
경남,여,2012.0,whole 320mL,23780.0
제주,남,2012.0,whole 320mL,3260.0
제주,여,2012.0,whole 320mL,9530.0
대한적십자사 외,남,2012.0,whole 320mL,15206.0
대한적십자사 외,여,2012.0,whole 320mL,45059.0
서울중앙,남,2013.0,whole 320mL,0.0
서울중앙,여,2013.0,whole 320mL,0.0
서울서부,남,2013.0,whole 320mL,21603.0
서울서부,여,2013.0,whole 320mL,67516.0
서울남부,남,2013.0,whole 320mL,13791.0
서울남부,여,2013.0,whole 320mL,44092.0
서울동부,남,2013.0,whole 320mL,22863.0
서울동부,여,2013.0,whole 320mL,72729.0
부산,남,2013.0,whole 320mL,18171.0
부산,여,2013.0,whole 320mL,53959.0
대구·경북,남,2013.0,whole 320mL,22648.0
대구·경북,여,2013.0,whole 320mL,62174.0
인천,남,2013.0,whole 320mL,15251.0
인천,여,2013.0,whole 320mL,44786.0
울산,남,2013.0,whole 320mL,11412.0
울산,여,2013.0,whole 320mL,17461.0
경기,남,2013.0,whole 320mL,22009.0
경기,여,2013.0,whole 320mL,41517.0
강원,남,2013.0,whole 320mL,6457.0
강원,여,2013.0,whole 320mL,15836.0
충북,남,2013.0,whole 320mL,8368.0
충북,여,2013.0,whole 320mL,12229.0
대전·세종·충남,남,2013.0,whole 320mL,18638.0
대전·세종·충남,여,2013.0,whole 320mL,43519.0
전북,남,2013.0,whole 320mL,12358.0
전북,여,2013.0,whole 320mL,23952.0
광주·전남,남,2013.0,whole 320mL,20023.0
광주·전남,여,2013.0,whole 320mL,50734.0
경남,남,2013.0,whole 320mL,20264.0
경남,여,2013.0,whole 320mL,24919.0
제주,남,2013.0,whole 320mL,3011.0
제주,여,2013.0,whole 320mL,10315.0
대한적십자사 외,남,2013.0,whole 320mL,12844.0
대한적십자사 외,여,2013.0,whole 320mL,42933.0
서울중앙,남,2014.0,whole 320mL,0.0
서울중앙,여,2014.0,whole 320mL,0.0
서울서부,남,2014.0,whole 320mL,26147.0
서울서부,여,2014.0,whole 320mL,69418.0
서울남부,남,2014.0,whole 320mL,12560.0
서울남부,여,2014.0,whole 320mL,37960.0
서울동부,남,2014.0,whole 320mL,25175.0
서울동부,여,2014.0,whole 320mL,73784.0
부산,남,2014.0,whole 320mL,15882.0
부산,여,2014.0,whole 320mL,51426.0
대구·경북,남,2014.0,whole 320mL,23680.0
대구·경북,여,2014.0,whole 320mL,59073.0
인천,남,2014.0,whole 320mL,16193.0
인천,여,2014.0,whole 320mL,43104.0
울산,남,2014.0,whole 320mL,11565.0
울산,여,2014.0,whole 320mL,16418.0
경기,남,2014.0,whole 320mL,23622.0
경기,여,2014.0,whole 320mL,43895.0
강원,남,2014.0,whole 320mL,7222.0
강원,여,2014.0,whole 320mL,18526.0
충북,남,2014.0,whole 320mL,7927.0
