region,gender,count,year,age_band
울산,여,103,2006,50대
경기,남,1779,2006,50대
경기,여,160,2006,50대
강원,남,622,2006,50대
강원,여,69,2006,50대
충북,남,721,2006,50대
충북,여,82,2006,50대
대전·세종·충남,남,1602,2006,50대
대전·세종·충남,여,165,2006,50대
전북,남,934,2006,50대
전북,여,73,2006,50대
광주·전남,남,1458,2006,50대
광주·전남,여,207,2006,50대
경남,남,1131,2006,50대
경남,여,93,2006,50대
제주,남,322,2006,50대
제주,여,33,2006,50대
서울중앙,남,189,2006,60대
서울중앙,여,18,2006,60대
서울서부,남,152,2006,60대
서울서부,여,15,2006,60대
서울남부,남,299,2006,60대
서울남부,여,22,2006,60대
서울동부,남,258,2006,60대
서울동부,여,21,2006,60대
부산,남,183,2006,60대
부산,여,13,2006,60대
대구·경북,남,113,2006,60대
대구·경북,여,18,2006,60대
인천,남,63,2006,60대
인천,여,14,2006,60대
울산,남,46,2006,60대
울산,여,2,2006,60대
경기,남,87,2006,60대
경기,여,17,2006,60대
강원,남,58,2006,60대
강원,여,3,2006,60대
충북,남,49,2006,60대
충북,여,0,2006,60대
대전·세종·충남,남,168,2006,60대
대전·세종·충남,여,22,2006,60대
전북,남,56,2006,60대
전북,여,4,2006,60대
광주·전남,남,129,2006,60대
광주·전남,여,21,2006,60대
경남,남,35,2006,60대
경남,여,3,2006,60대
제주,남,37,2006,60대
제주,여,6,2006,60대
서울중앙,남,31768,2007,10대
서울중앙,여,21630,2007,10대
서울서부,남,32510,2007,10대
서울서부,여,17301,2007,10대
서울남부,남,28251,2007,10대
서울남부,여,13268,2007,10대
서울동부,남,47320,2007,10대
서울동부,여,31815,2007,10대
부산,남,40879,2007,10대
부산,여,21257,2007,10대
대구·경북,남,40386,2007,10대
대구·경북,여,21823,2007,10대
인천,남,27236,2007,10대
인천,여,17863,2007,10대
울산,남,15587,2007,10대
울산,여,6952,2007,10대
경기,남,31916,2007,10대
경기,여,13806,2007,10대
강원,남,11845,2007,10대
강원,여,4604,2007,10대
충북,남,18032,2007,10대
충북,여,8684,2007,10대
대전·세종·충남,남,41868,2007,10대
대전·세종·충남,여,18400,2007,10대
전북,남,25955,2007,10대
전북,여,13931,2007,10대
광주·전남,남,42081,2007,10대
광주·전남,여,31175,2007,10대
경남,남,22035,2007,10대
경남,여,9689,2007,10대
제주,남,5592,2007,10대
제주,여,3376,2007,10대
서울중앙,남,74268,2007,20대
서울중앙,여,23299,2007,20대
서울서부,남,56757,2007,20대
서울서부,여,15523,2007,20대
서울남부,남,74254,2007,20대
서울남부,여,18054,2007,20대
서울동부,남,54397,2007,20대
서울동부,여,16478,2007,20대
부산,남,73895,2007,20대
부산,여,16340,2007,20대
대구·경북,남,53580,2007,20대
대구·경북,여,15083,2007,20대
인천,남,33292,2007,20대
인천,여,9464,2007,20대
울산,남,24304,2007,20대
울산,여,4379,2007,20대
경기,남,42080,2007,20대
경기,여,9025,2007,20대
강원,남,35801,2007,20대
강원,여,3441,2007,20대
충북,남,30072,2007,20대
충북,여,4679,2007,20대
대전·세종·충남,남,54126,2007,20대
대전·세종·충남,여,10340,2007,20대
전북,남,36297,2007,20대
전북,여,6987,2007,20대
광주·전남,남,59803,2007,20대
