gender,job,region,year,count
여,공무원,서울남부,2005,392
여,공무원,서울동부,2005,503
여,공무원,부산,2005,509
여,공무원,대구·경북,2005,633
여,공무원,인천,2005,458
여,공무원,울산,2005,200
여,공무원,경기,2005,324
여,공무원,강원,2005,183
여,공무원,충북,2005,280
여,공무원,대전·세종·충남,2005,183
여,공무원,전북,2005,265
여,공무원,광주·전남,2005,847
여,공무원,경남,2005,274
여,공무원,제주,2005,216
여,공무원,대한적십자사 외,2005,89
여,자영업,대한적십자사,2005,3535
여,자영업,서울중앙,2005,353
여,자영업,서울서부,2005,150
여,자영업,서울남부,2005,379
여,자영업,서울동부,2005,416
여,자영업,부산,2005,355
여,자영업,대구·경북,2005,402
여,자영업,인천,2005,274
여,자영업,울산,2005,89
여,자영업,경기,2005,175
여,자영업,강원,2005,96
여,자영업,충북,2005,79
여,자영업,대전·세종·충남,2005,172
여,자영업,전북,2005,109
여,자영업,광주·전남,2005,300
여,자영업,경남,2005,110
여,자영업,제주,2005,76
여,자영업,대한적십자사 외,2005,140
여,종교직,대한적십자사,2005,754
여,종교직,서울중앙,2005,84
여,종교직,서울서부,2005,47
여,종교직,서울남부,2005,68
여,종교직,서울동부,2005,90
여,종교직,부산,2005,84
여,종교직,대구·경북,2005,73
여,종교직,인천,2005,41
여,종교직,울산,2005,31
여,종교직,경기,2005,28
여,종교직,강원,2005,8
여,종교직,충북,2005,14
여,종교직,대전·세종·충남,2005,32
여,종교직,전북,2005,39
여,종교직,광주·전남,2005,102
여,종교직,경남,2005,6
여,종교직,제주,2005,7
여,종교직,대한적십자사 외,2005,45
여,가사,대한적십자사,2005,18443
여,가사,서울중앙,2005,1174
여,가사,서울서부,2005,885
여,가사,서울남부,2005,1585
여,가사,서울동부,2005,2570
여,가사,부산,2005,1810
여,가사,대구·경북,2005,2005
여,가사,인천,2005,1738
여,가사,울산,2005,855
여,가사,경기,2005,1251
여,가사,강원,2005,447
여,가사,충북,2005,452
여,가사,대전·세종·충남,2005,641
여,가사,전북,2005,675
여,가사,광주·전남,2005,1598
여,가사,경남,2005,523
여,가사,제주,2005,234
여,가사,대한적십자사 외,2005,777
여,기타,대한적십자사,2005,48346
여,기타,서울중앙,2005,5649
여,기타,서울서부,2005,3244
여,기타,서울남부,2005,4452
여,기타,서울동부,2005,4485
여,기타,부산,2005,6402
여,기타,대구·경북,2005,4322
여,기타,인천,2005,3857
여,기타,울산,2005,1587
여,기타,경기,2005,2501
여,기타,강원,2005,761
여,기타,충북,2005,1597
여,기타,대전·세종·충남,2005,1726
여,기타,전북,2005,2093
여,기타,광주·전남,2005,4035
여,기타,경남,2005,932
여,기타,제주,2005,703
여,기타,대한적십자사 외,2005,1523
남,고등학생,대한적십자사,2006,316152
남,고등학생,서울중앙,2006,18866
남,고등학생,서울서부,2006,20040
남,고등학생,서울남부,2006,16807
남,고등학생,서울동부,2006,27833
남,고등학생,부산,2006,30816
남,고등학생,대구·경북,2006,28115
남,고등학생,인천,2006,23708
남,고등학생,울산,2006,12967
남,고등학생,경기,2006,27581
남,고등학생,강원,2006,4034
남,고등학생,충북,2006,12068
남,고등학생,대전·세종·충남,2006,24001
남,고등학생,전북,2006,19822
남,고등학생,광주·전남,2006,31571
남,고등학생,경남,2006,13403
남,고등학생,제주,2006,4520
남,고등학생,대한적십자사 외,2006,1780
남,대학생,대한적십자사,2006,422575
남,대학생,서울중앙,2006,34175
남,대학생,서울서부,2006,24737
남,대학생,서울남부,2006,33330
남,대학생,서울동부,2006,30194
남,대학생,부산,2006,54284
