promo_name,promo_url,promo_hits,region,gender,special_promo_coef,special_promo_control_coef,special_promo_dates,special_promo_control_dates
(2차)(대전세종충남혈액원) 생명으로 이어지는 레드커넥트! AGAIN!,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180781&result=L,6145,대전세종충남,남,0.11149390343842047,0.048077524509405944,30,28
(2차)(대전세종충남혈액원) 생명으로 이어지는 레드커넥트! AGAIN!,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180781&result=L,6145,대전세종충남,여,-0.1318181240291013,-0.10471093927139453,30,28
[대전세종충남혈액원] 달~콤한 레드커넥트 예약 헌혈 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180341&result=L,7329,대전세종충남,남,0.13959675299914406,-0.02503742663768017,31,28
[대전세종충남혈액원] 달~콤한 레드커넥트 예약 헌혈 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=180341&result=L,7329,대전세종충남,여,0.024104751204905198,-0.07597344867881069,31,28
중장년 헌혈자님 함께 떠나 볼까요,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=164137&result=L,29538,대전세종충남,남,0.0907971226422078,0.14738134624020222,85,27
중장년 헌혈자님 함께 떠나 볼까요,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=164137&result=L,29538,대전세종충남,여,0.2628912029599365,0.17912054812661823,85,27
생명으로 이어지는 레드커넥트로 예약 헌혈 동참해요(4차: 12.25 크리스마스 기념),https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163303&result=L,12710,대전세종충남,남,0.1315511531989159,0.003527587013401676,72,27
생명으로 이어지는 레드커넥트로 예약 헌혈 동참해요(4차: 12.25 크리스마스 기념),https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163303&result=L,12710,대전세종충남,여,0.11239360282523489,0.019913543183348172,72,27
생명으로 이어지는 레드커넥트로 예약 헌혈 동참해요(3차: 10.09 한글날 기념),https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163301&result=L,15878,대전세종충남,남,-0.0026044021174468804,-0.029723708958012164,59,27
생명으로 이어지는 레드커넥트로 예약 헌혈 동참해요(3차: 10.09 한글날 기념),https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163301&result=L,15878,대전세종충남,여,0.1739926533714083,0.03521965867236146,59,27
생명으로 이어지는 레드커넥트로 예약 헌혈 동참해요(2차: 8.15 광복절 기념),https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163299&result=L,16940,대전세종충남,남,-0.022901131508687392,0.03277263707811631,60,28
생명으로 이어지는 레드커넥트로 예약 헌혈 동참해요(2차: 8.15 광복절 기념),https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163299&result=L,16940,대전세종충남,여,0.05304427335278745,0.03964194925763588,60,28
생명으로 이어지는 레드커넥트로 예약 헌혈 동참해요(1차: 6.14 헌혈자의 날 기념),https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163297&result=L,20400,대전세종충남,남,-0.021485772493638377,-0.011627668772271178,19,28
생명으로 이어지는 레드커넥트로 예약 헌혈 동참해요(1차: 6.14 헌혈자의 날 기념),https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=163297&result=L,20400,대전세종충남,여,0.051812835125869525,0.21676395365927845,19,28
<철든여행> 대전세종충남 & 충북 ABO Friends 여행 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161899&result=L,7037,대전세종충남,남,-0.12175136533168651,-0.1226918949860953,31,28
<철든여행> 대전세종충남 & 충북 ABO Friends 여행 프로모션,https://www.bloodinfo.net/knrcbs/pr/promtn/promtnInfoView.do?mi=1099&promtnSn=161899&result=L,7037,대전세종충남,여,-0.11055673545869413,-0.1849066329817826,31,28
