region,gender,coef,p_val,year,quarter,promo_ratio
Jeonbuk,Male,0.054011797446096584,0.010718954512292937,2023,1,0.4235294117647059
Jeonbuk,Male,0.19488165649313174,0.3520420548294402,2023,2,0.4888888888888889
Jeonbuk,Female,0.3731227715301706,0.000768393331336475,2021,1,0.8045977011494253
Jeonbuk,Female,0.11511693548241313,0.3228011912610961,2021,2,0.4777777777777778
Jeonbuk,Female,-0.04112345166411476,0.7406862024545646,2021,3,0.7333333333333333
Jeonbuk,Female,0.08277083877200535,0.9402659134379024,2021,4,0.6195652173913043
Jeonbuk,Female,0.07669672837497808,0.4896632407282251,2022,1,0.8620689655172413
Jeonbuk,Female,-0.06313489175147698,0.6030146489175003,2022,2,0.5274725274725275
Jeonbuk,Female,-0.009783348452277064,0.002430650480604111,2022,3,0.4666666666666667
Jeonbuk,Female,0.041766423477649896,0.6093497591893364,2022,4,0.6
Jeonbuk,Female,0.48085294885504243,0.3633159148358508,2023,1,0.4235294117647059
Jeonbuk,Female,0.1625059928357061,0.4952331380073023,2023,2,0.4888888888888889
Jeju,Male,-0.0037364150570591806,0.1304623147423694,2021,1,0.6436781609195402
Jeju,Male,-0.02152177075013475,0.6692001101664267,2021,2,0.4725274725274725
Jeju,Male,0.0142587972911801,0.04491326792799458,2021,3,0.5280898876404494
Jeju,Male,0.22370406119556172,0.10039382225033618,2021,4,0.532608695652174
Jeju,Male,-0.09557206823655984,0.7149610837851954,2022,1,0.7586206896551724
Jeju,Male,-0.006090735885483185,0.8617306628012936,2022,2,0.5384615384615384
Jeju,Male,0.042496623074293895,0.11696541844865108,2022,3,0.18888888888888888
Jeju,Male,0.3367410288734947,0.4638526993348908,2022,4,0.2717391304347826
Jeju,Male,0.01342984174238686,0.00929355959543655,2023,1,0.632183908045977
Jeju,Male,0.0512295829892085,0.17555150933354863,2023,2,0.4111111111111111
Jeju,Female,0.11686427208987743,0.853525156222595,2021,1,0.6436781609195402
Jeju,Female,0.21629780200433807,0.015042691090170854,2021,2,0.46153846153846156
Jeju,Female,-0.06574236343262033,0.03995905483810146,2021,3,0.5280898876404494
Jeju,Female,0.14846842027059717,0.8747993862296761,2021,4,0.532608695652174
Jeju,Female,0.24708041959241409,0.5981020257601102,2022,1,0.7586206896551724
Jeju,Female,-0.11308108465165505,0.03856909672484917,2022,2,0.5384615384615384
Jeju,Female,0.019118208249734304,0.6075558975929712,2022,3,0.18888888888888888
Jeju,Female,-0.02307268344811509,0.14566331581897782,2022,4,0.2717391304347826
Jeju,Female,0.08971701703820253,0.3982150028564315,2023,1,0.632183908045977
Jeju,Female,0.23099017438571495,0.8408051474052974,2023,2,0.4111111111111111
Chungbuk,Male,0.1968535093002545,0.36996874778055955,2021,1,0.7241379310344828
Chungbuk,Male,0.07046165678284692,0.7180350274983842,2021,2,0.43956043956043955
Chungbuk,Male,0.07986832121720186,0.008946616121279062,2021,3,0.5222222222222223
Chungbuk,Male,0.20908057669350255,0.16461283157659726,2021,4,0.5760869565217391
Chungbuk,Male,0.34053486742509415,0.10185832420145623,2022,1,0.875
Chungbuk,Male,-0.06690895215621566,0.8684769031582127,2022,2,0.4444444444444444
Chungbuk,Male,0.18589005130131117,0.0020286592678745116,2022,3,0.2087912087912088
Chungbuk,Male,-0.13238835433538573,0.8598414053095498,2022,4,0.13043478260869565
Chungbuk,Male,0.09744954625405274,0.006548246600430166,2023,1,0.42045454545454547
Chungbuk,Male,0.12244427770156743,0.00568464351450821,2023,2,0.3626373626373626
Chungbuk,Female,0.11904044307847449,0.05430027131201403,2021,1,0.7241379310344828
Chungbuk,Female,0.26212176644062113,0.05927864853486393,2021,2,0.43956043956043955
Chungbuk,Female,0.39257331057013034,0.08490998370512247,2021,3,0.5222222222222223
Chungbuk,Female,0.11621240876155911,0.2795241268610875,2021,4,0.5760869565217391
Chungbuk,Female,0.32702661689644685,0.012075532731831077,2022,1,0.875
Chungbuk,Female,0.11035372833916016,0.9645830906600248,2022,2,0.4444444444444444
Chungbuk,Female,0.04969171487013302,0.009238737747294905,2022,3,0.1978021978021978
Chungbuk,Female,0.2849546349216288,0.003912416291834727,2022,4,0.13043478260869565
Chungbuk,Female,0.08931738717629176,0.14049051569661195,2023,1,0.4090909090909091
Chungbuk,Female,0.16468262301579725,0.2811592804908057,2023,2,0.3626373626373626
